Sample ID,Description,Type,week,treatment,replicate
140130_Hiseq3B_l2_022,4W_T5,single-read,4,T,5
140121_Hiseq3B_l2_005,5W_C1,single-read,5,C,1
140121_Hiseq3B_l4_006,5W_C2,single-read,5,C,2
140121_Hiseq3B_l5_015,5W_C3,single-read,5,C,3
140130_Hiseq3B_l1_002,5W_C4,single-read,5,C,4
140130_Hiseq3B_l3_007,5W_C5,single-read,5,C,5
140130_Hiseq3B_l4_019,5W_H1,single-read,5,H,1
140130_Hiseq3B_l3_001,5W_H2,single-read,5,H,2
140130_Hiseq3B_l3_010,5W_H3,single-read,5,H,3
140130_Hiseq3B_l3_020,5W_H4,single-read,5,H,4
140130_Hiseq3B_l4_003,5W_H5,single-read,5,H,5
140130_Hiseq3B_l4_009,5W_T1,single-read,5,T,1
140130_Hiseq3B_l4_025,5W_T2,single-read,5,T,2
140130_Hiseq3A_l1_008,5W_T3,single-read,5,T,3
140130_Hiseq3A_l1_011,5W_T4,single-read,5,T,4
140130_Hiseq3A_l1_022,5W_T5,single-read,5,T,5
140130_Hiseq3A_l2_005,6W_C1,single-read,6,C,1
140130_Hiseq3A_l2_006,6W_C2,single-read,6,C,2
140130_Hiseq3A_l2_015,6W_C3,single-read,6,C,3
140130_Hiseq3A_l3_002,6W_C4,single-read,6,C,4
140130_Hiseq3A_l3_007,6W_C5,single-read,6,C,5
140130_Hiseq3A_l3_019,6W_H1,single-read,6,H,1
140130_Hiseq3A_l1_001,6W_H2,single-read,6,H,2
140130_Hiseq3A_l2_010,6W_H3,single-read,6,H,3
140130_Hiseq3A_l3_020,6W_H4,single-read,6,H,4
140130_Hiseq3A_l4_003,6W_H5,single-read,6,H,5
140130_Hiseq3A_l4_009,6W_T1,single-read,6,T,1
140130_Hiseq3A_l4_025,6W_T2,single-read,6,T,2
140217_Hiseq3B_l3_008,6W_T3,single-read,6,T,3
140217_Hiseq3B_l3_011,6W_T4,single-read,6,T,4
140217_Hiseq3B_l3_022,6W_T5,single-read,6,T,5
140217_Hiseq3B_l8_005,7W_C1,single-read,7,C,1
140217_Hiseq3B_l8_006,7W_C2,single-read,7,C,2
140217_Hiseq3B_l8_015,7W_C3,single-read,7,C,3
140130_Hiseq3A_l4_002,7W_C4,single-read,7,C,4
140217_Hiseq3B_l3_007,7W_C5,single-read,7,C,5
140217_Hiseq3B_l8_019,7W_H1,single-read,7,H,1
140130_Hiseq3A_l4_001,7W_H2,single-read,7,H,2
140217_Hiseq3B_l3_010,7W_H3,single-read,7,H,3
140217_Hiseq3B_l8_020,7W_H4,single-read,7,H,4
140217_Hiseq3B_l7_003,7W_H5,single-read,7,H,5
140217_Hiseq3B_l7_009,7W_T1,single-read,7,T,1
140217_Hiseq3B_l7_025,7W_T2,single-read,7,T,2
140217_Hiseq3B_l7_008,7W_T3,single-read,7,T,3
140217_Hiseq3B_l7_011,7W_T4,single-read,7,T,4
140217_Hiseq3B_l7_022,7W_T5,single-read,7,T,5
140221_Hiseq3A_l3_005,8W_C1,single-read,8,C,1
140221_Hiseq3A_l3_006,8W_C2,single-read,8,C,2
140221_Hiseq3A_l3_015,8W_C3,single-read,8,C,3
140221_Hiseq3A_l3_002,8W_C4,single-read,8,C,4
140221_Hiseq3A_l3_007,8W_C5,single-read,8,C,5
140221_Hiseq3A_l3_019,8W_H1,single-read,8,H,1
140224_Hiseq3B_l4_001,8W_H2,single-read,8,H,2
140224_Hiseq3B_l4_010,8W_H3,single-read,8,H,3
140224_Hiseq3B_l4_020,8W_H4,single-read,8,H,4
140224_Hiseq3B_l4_003,8W_H5,single-read,8,H,5
140224_Hiseq3B_l4_009,8W_T1,single-read,8,T,1
140224_Hiseq3B_l4_025,8W_T2,single-read,8,T,2
140224_Hiseq3B_l5_008,8W_T3,single-read,8,T,3
140224_Hiseq3B_l5_011,8W_T4,single-read,8,T,4
140224_Hiseq3B_l5_022,8W_T5,single-read,8,T,5
140224_Hiseq3B_l5_005,9W_C1,single-read,9,C,1
140224_Hiseq3B_l5_006,9W_C2,single-read,9,C,2
140224_Hiseq3B_l5_015,9W_C3,single-read,9,C,3
140224_Hiseq3B_l6_002,9W_C4,single-read,9,C,4
